id,username,email,first_name,last_name,addresses,age,gender,persona,discount_persona,selectable_user
1,user1,mark.johnson@example.com,Mark,Johnson,"[{'first_name': 'Mark', 'last_name': 'Johnson', 'address1': '51161 Maurice Fort', 'address2': '', 'country': 'US', 'city': 'South Davidside', 'state': 'HI', 'zipcode': '96721', 'default': True}]",31,M,furniture_homedecor_housewares,lower_priced_products,True
2,user2,kristen.calderon@example.com,Kristen,Calderon,"[{'first_name': 'Kristen', 'last_name': 'Calderon', 'address1': '871 Callahan Dale', 'address2': '', 'country': 'US', 'city': 'New Candacebury', 'state': 'TX', 'zipcode': '73301', 'default': True}]",58,F,tools_housewares_apparel,discount_indifferent,True
3,user3,joseph.maddox@example.com,Joseph,Maddox,"[{'first_name': 'Joseph', 'last_name': 'Maddox', 'address1': '03911 Cabrera Wall Suite 227', 'address2': '', 'country': 'US', 'city': 'Martinmouth', 'state': 'AL', 'zipcode': '36246', 'default': True}]",43,M,floral_beauty_jewelry,lower_priced_products,True
4,user4,jay.lewis@example.com,Jay,Lewis,"[{'first_name': 'Jay', 'last_name': 'Lewis', 'address1': '9973 Aguirre Expressway', 'address2': '', 'country': 'US', 'city': 'South Rodneyview', 'state': 'OR', 'zipcode': '97747', 'default': True}]",38,M,books_apparel_homedecor,discount_indifferent,True
5,user5,anthony.valdez@example.com,Anthony,Valdez,"[{'first_name': 'Anthony', 'last_name': 'Valdez', 'address1': '60260 Baker Spurs', 'address2': '', 'country': 'US', 'city': 'West Susan', 'state': 'AR', 'zipcode': '72739', 'default': True}]",24,M,instruments_books_electronics,discount_indifferent,True
6,user6,matthew.tucker@example.com,Matthew,Tucker,"[{'first_name': 'Matthew', 'last_name': 'Tucker', 'address1': '079 Ferrell Circles Apt. 425', 'address2': '', 'country': 'US', 'city': 'Suarezbury', 'state': 'HI', 'zipcode': '96741', 'default': True}]",24,M,furniture_homedecor_housewares,lower_priced_products,True
7,user7,jeffrey.daniels@example.com,Jeffrey,Daniels,"[{'first_name': 'Jeffrey', 'last_name': 'Daniels', 'address1': '6923 Cherry Station', 'address2': '', 'country': 'US', 'city': 'Johnsonchester', 'state': 'WY', 'zipcode': '82681', 'default': True}]",20,M,books_apparel_homedecor,discount_indifferent,True
8,user8,rachel.jenkins@example.com,Rachel,Jenkins,"[{'first_name': 'Rachel', 'last_name': 'Jenkins', 'address1': '48465 Kenneth Creek Apt. 629', 'address2': '', 'country': 'US', 'city': 'Richardfort', 'state': 'OR', 'zipcode': '97312', 'default': True}]",50,F,electronics_outdoors_footwear,discount_indifferent,True
9,user9,dustin.jordan@example.com,Dustin,Jordan,"[{'first_name': 'Dustin', 'last_name': 'Jordan', 'address1': '3676 Diana Avenue', 'address2': '', 'country': 'US', 'city': 'Carrilloland', 'state': 'NC', 'zipcode': '27876', 'default': True}]",38,M,books_apparel_homedecor,all_discounts,True
10,user10,colleen.brock@example.com,Colleen,Brock,"[{'first_name': 'Colleen', 'last_name': 'Brock', 'address1': '2236 Mccarthy Centers', 'address2': '', 'country': 'US', 'city': 'South Robert', 'state': 'MN', 'zipcode': '55424', 'default': True}]",42,F,groceries_seasonal_tools,discount_indifferent,True
11,user11,sandra.price@example.com,Sandra,Price,"[{'first_name': 'Sandra', 'last_name': 'Price', 'address1': '627 Hooper Mountains', 'address2': '', 'country': 'US', 'city': 'Vargasfurt', 'state': 'WV', 'zipcode': '25044', 'default': True}]",18,F,floral_beauty_jewelry,discount_indifferent,True
12,user12,maria.taylor@example.com,Maria,Taylor,"[{'first_name': 'Maria', 'last_name': 'Taylor', 'address1': '19374 Jackson Place', 'address2': '', 'country': 'US', 'city': 'Dannyfort', 'state': 'AZ', 'zipcode': '85638', 'default': True}]",61,F,floral_beauty_jewelry,all_discounts,True
